Job Title,Link,Role,Industry,Department,Education (UG),Education (PG),Key Skills,Description
Area Sales Manager - Retail Sales - Jharkhand (Dhanbad),https://www.naukri.com/job-listings-area-sales-manager-retail-sales-jharkhand-dhanbad-ams-dhanbad-3-to-8-years-180326020498,Area Sales Manager (B2C),Chemicals (Paints),Sales & Business Development,Not Found,MBA/PGDM in Any Specialization,"Retail Sales, Sales, Channel Sales, Dealer Sales, Retail Channel Sales, Primary Sales, Distributor Handling",
Retail Sales Manager,https://www.naukri.com/job-listings-retail-sales-manager-agam-management-consultants-rourkela-jamshedpur-4-to-9-years-170326046266,Branch Sales Manager (B2C),Textile & Apparel (Fashion),Sales & Business Development,Diploma in Any Specialization,Not Found,"Retail Management, Showroom, Retail Store Operations, Retail Sales",Description block not found or inaccessible
Retail Sales Executive (Male),https://www.naukri.com/job-listings-retail-sales-executive-male-associated-resource-company-siliguri-jamshedpur-1-to-4-years-110326013827,Retail Sales Associate,Furniture & Furnishing,"Merchandising, Retail & eCommerce",Any Graduate,Not Found,"Retail Sales, Showroom Sales, Retail Operations",Description block not found or inaccessible
Sales Officer/Sales Manager/Filed Sales Executive,https://www.naukri.com/job-listings-sales-officer-sales-manager-filed-sales-executive-cyitechsearch-dhanbad-jamshedpur-ranchi-0-to-3-years-230326001987,Field Sales Executive,Banking,Sales & Business Development,Not Found,Not Found,"Retail Sales, Sales, B2C Sales, Field Sales, Business Development, Current & savings account",Description block not found or inaccessible
Retail Sales Officer,https://www.naukri.com/job-listings-retail-sales-officer-shree-hr-consultancy-services-kolkata-jamshedpur-0-to-1-years-060326914997,Retail Sales,Retail,Sales & Business Development,Any Graduate,Any Postgraduate,"retail sales, sales officer, sales support, sales, retail, communication skills, after sales",Description block not found or inaccessible
Senior Relationship Manager- Retail Sales,https://www.naukri.com/job-listings-senior-relationship-manager-retail-sales-uti-mutual-fund-dhanbad-2-to-5-years-280625502255,Retail Sales,Financial Services,Sales & Business Development,Any Graduate,Any Postgraduate,"Training, Penetration, Time management, Finance, Business management, Management, MIS generation, Salesforce",Description block not found or inaccessible
Sales Manager Retail,https://www.naukri.com/job-listings-sales-manager-retail-lic-mutual-fund-asset-management-company-ltd-jalandhar-bhubaneswar-chandigarh-ranchi-bengaluru-1-to-5-years-100521500184,Insurance Sales / BD Manager,Financial Services,"BFSI, Investments & Trading",Any Graduate,Post Graduation Not Required,"Equity Analyst, Sales, Customer Service Executive",Description block not found or inaccessible
Service Manager 2,https://www.naukri.com/job-listings-service-manager-2-pratik-automobiles-hazaribag-3-to-8-years-260226028516,Service Manager,Auto Components,"Customer Success, Service & Operations",Not Found,Any Postgraduate,"Automobile Service, Vehicle, Automobile, Car Service, Vehicle Maintenance, Automobile Maintenance, Driving, Workshop Management, Four Wheeler",Description block not found or inaccessible
Area Sales Manager,https://www.naukri.com/job-listings-area-sales-manager-mahindra-mahindra-limited-ranchi-3-to-8-years-200326501920,Area Sales Manager (B2B),Automobile,Sales & Business Development,"Diploma in Any Specialization, Any Graduate","MBA/PGDM in Any Specialization, PG Diploma in Electronics","Relationship management, Order management, Sales planning, Sales operations, Market intelligence, Sales process, Dms, Automotive, Monitoring, Retail sales",Description block not found or inaccessible
Service Engineer,https://www.naukri.com/job-listings-service-engineer-ideal-solutions-mumbai-bhubaneswar-hyderabad-ranchi-0-to-0-years-130326033905,Service Engineer,Automobile (Electric Vehicle (EV)),"Customer Success, Service & Operations","Diploma in Mechanical Engineering, Electronics And Instrumentation, ITI, B.Tech/B.E. - Bachelor of Technology / Engineering in Electrical and Electronics Engineering (EEE), Automobile Engineering, Production and Industrial Engineering, Mechanical Engineering, Mechatronics",Not Found,"Car Service, Service Engineering, Automobile Service, Car Showroom, Mechanical Engineering, Automobile Engineering, EEE, Dealer Training, After Sales Service, Mechanical Maintenance, Servicing, Four Wheeler, After Sales Support, Repair And Maintenance, Warranty Handling, Repair",Description block not found or inaccessible
Sales Manager - Auto Loans,https://www.naukri.com/job-listings-sales-manager-auto-loans-hdb-financial-services-limited-deoghar-0-to-13-years-190326503123,Territory Sales Manager (B2C),Financial Services,Sales & Business Development,Any Graduate,Any Postgraduate,"Market study, Sales planning, Analytical, Institutional sales, Cost management, Business planning, Sales Promotion Executive, Auto loans, Network management, Planning Executive",Description block not found or inaccessible
Area Sales Manager,https://www.naukri.com/job-listings-area-sales-manager-mahindra-mahindra-limited-ranchi-3-to-8-years-190326504820,Area Sales Manager (B2B),Automobile,Sales & Business Development,Any Graduate,Any Postgraduate,"Relationship management, Manpower management, Sales planning, Dms, Credit management, Forecasting, Retail sales, Testing, automotive sales",Description block not found or inaccessible
Project Manager/Sr. Engineer- Mechanical/Electrical,https://www.naukri.com/job-listings-project-manager-sr-engineer-mechanical-electrical-hsmb-india-services-llp-chandrapur-kolkata-bokaro-10-to-20-years-220326005326,Production & Manufacturing - Other,Engineering & Construction,"Production, Manufacturing & Engineering",B.Tech/B.E. - Bachelor of Technology / Engineering in Mechanical Engineering,Not Found,Project Execution,Description block not found or inaccessible
Senior Sales Manager - TW,https://www.naukri.com/job-listings-senior-sales-manager-tw-hdb-financial-services-limited-medininagar-0-to-5-years-060326505059,Regional Sales Manager (B2C),Financial Services,Sales & Business Development,Any Graduate,Any Postgraduate,"Loans, Unit operations, Team management, Sales, Focus, Telecalling, Customer support, Management, Monitoring",Description block not found or inaccessible
